file,class_name,source_origin,source_topic,loc,is_interactive_program,src_compiled,src_compile_errors,src_warnings,runtime_attempted,runtime_errors,exception_types,test_exists,test_compiled,test_compile_errors,tests_passed,tests_failed,tests_total,test_status,total_defects,defect_density,density_grade,is_defective,defect_types
AccountsMerge.java,AccountsMerge,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AccountsMergeII.java,AccountsMergeII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AddTwoNumbers.java,AddTwoNumbers,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AdjacentDuplicateFinder.java,AdjacentDuplicateFinder,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
AdjacentSumCalculator.java,AdjacentSumCalculator,unknown,,9,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,111.11,High,1,test_failure
AlienDictionary.java,AlienDictionary,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
AlienDictionaryII.java,AlienDictionaryII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AlienDictionaryIII.java,AlienDictionaryIII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
AllNodesDistanceK.java,AllNodesDistanceK,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AllNodesDistanceKInBinaryTree.java,AllNodesDistanceKInBinaryTree,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AllOOneDataStructure.java,AllOOneDataStructure,unknown,,6,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AllOOneDataStructureII.java,AllOOneDataStructureII,unknown,,6,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AllPathsFromSourceToTarget.java,AllPathsFromSourceToTarget,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
AlphabetOrderChecker.java,AlphabetOrderChecker,unknown,,10,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AlphabetPositionFinder.java,AlphabetPositionFinder,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
AlphabetReverser.java,AlphabetReverser,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
AlternateCharacterMerger.java,AlternateCharacterMerger,unknown,,18,False,True,0,0,False,0,,True,True,0,2,0,2,tests_executed,0,0.0,Clean,0,none
